Fecha;IPAddress
2021-04-13 08:00:45;192.168.113.141
2021-04-13 08:00:44;192.168.113.141
2021-04-13 08:00:44;192.168.113.141
2021-04-13 08:00:43;192.168.113.141
2021-04-13 08:00:19;192.168.113.145
2021-04-13 08:00:18;192.168.113.145
2021-04-13 07:55:45;192.168.113.141
2021-04-13 07:55:45;192.168.113.141
2021-04-13 07:55:44;192.168.113.141
2021-04-13 07:55:44;192.168.113.141
2021-04-13 07:55:19;192.168.113.145
2021-04-13 07:55:18;192.168.113.145
2021-04-13 07:50:45;192.168.113.141
2021-04-13 07:50:45;192.168.113.141
2021-04-13 07:50:44;192.168.113.141
2021-04-13 07:50:44;192.168.113.141
2021-04-13 07:50:19;192.168.113.145
2021-04-13 07:50:18;192.168.113.145
2021-04-14 07:50:49;192.168.113.141
2021-04-14 07:50:48;192.168.113.141
2021-04-14 07:50:48;192.168.113.141
2021-04-14 07:50:47;192.168.113.141
2021-04-14 07:50:23;192.168.113.145
2021-04-14 07:50:22;192.168.113.145
2021-04-14 07:45:49;192.168.113.141
2021-04-14 07:45:49;192.168.113.141
2021-04-14 07:45:48;192.168.113.141
2021-04-14 07:45:48;192.168.113.141
2021-04-14 07:45:23;192.168.113.145
2021-04-14 07:45:22;192.168.113.145
2021-04-15 08:10:53;192.168.113.141
2021-04-15 08:10:53;192.168.113.141
2021-04-15 08:10:52;192.168.113.141
2021-04-15 08:10:52;192.168.113.141
2021-04-15 08:10:27;192.168.113.145
2021-04-15 08:10:27;192.168.113.145
2021-04-15 08:05:53;192.168.113.141
2021-04-15 08:05:52;192.168.113.141
2021-04-15 08:05:52;192.168.113.141
2021-04-15 08:05:51;192.168.113.141
2021-04-15 08:05:27;192.168.113.145
2021-04-15 08:05:27;192.168.113.145
2021-04-15 08:00:53;192.168.113.141
2021-04-15 08:00:52;192.168.113.141
2021-04-15 08:00:52;192.168.113.141
2021-04-15 08:00:51;192.168.113.141
2021-04-15 08:00:27;192.168.113.145
2021-04-15 08:00:26;192.168.113.145
2021-04-16 07:50:57;192.168.113.141
2021-04-16 07:50:57;192.168.113.141
2021-04-16 07:50:56;192.168.113.141
2021-04-16 07:50:56;192.168.113.141
2021-04-16 07:50:31;192.168.113.145
2021-04-16 07:50:31;192.168.113.145
2021-04-16 07:45:57;192.168.113.141
2021-04-16 07:45:56;192.168.113.141
2021-04-16 07:45:56;192.168.113.141
2021-04-16 07:45:55;192.168.113.141
2021-04-16 07:45:32;192.168.113.145
2021-04-16 07:45:31;192.168.113.145
2021-04-16 07:40:57;192.168.113.141
2021-04-16 07:40:56;192.168.113.141
2021-04-16 07:40:56;192.168.113.141
2021-04-16 07:40:55;192.168.113.141
2021-04-16 07:40:31;192.168.113.145
2021-04-16 07:40:30;192.168.113.145
2021-04-20 07:51:13;192.168.113.141
2021-04-20 07:51:12;192.168.113.141
2021-04-20 07:51:12;192.168.113.141
2021-04-20 07:51:11;192.168.113.141
2021-04-20 07:50:47;192.168.113.145
2021-04-20 07:50:46;192.168.113.145
2021-04-20 07:46:13;192.168.113.141
2021-04-20 07:46:13;192.168.113.141
2021-04-20 07:46:12;192.168.113.141
2021-04-20 07:46:12;192.168.113.141
2021-04-20 07:45:47;192.168.113.145
2021-04-20 07:45:47;192.168.113.145
2021-04-20 07:41:14;192.168.113.141
2021-04-20 07:41:13;192.168.113.141
2021-04-20 07:41:13;192.168.113.141
2021-04-20 07:41:12;192.168.113.141
2021-04-20 07:40:48;192.168.113.145
2021-04-20 07:40:47;192.168.113.145
2021-04-20 07:36:13;192.168.113.141
2021-04-20 07:36:12;192.168.113.141
2021-04-20 07:36:12;192.168.113.141
2021-04-20 07:36:11;192.168.113.141
2021-04-20 07:35:47;192.168.113.145
2021-04-20 07:35:46;192.168.113.145
2021-04-22 09:06:22;192.168.113.141
2021-04-22 09:06:21;192.168.113.141
2021-04-22 09:06:21;192.168.113.141
2021-04-22 09:06:20;192.168.113.141
